Accuracy_stars,CheckIn,CheckIn_stars,CheckOut,Cleanliness_stars,Communication_stars,Latitude,Location_stars,Longitude,Price,Super_host,Value_stars,Bathrooms_num_int,shared_bathroom,Bedrooms_int,Beds_int,shared_room,air,bunk,couch,crib,double,floor,king,queen,single,sofa,Unnamed: 27,Air conditioning,BBQ grill,Baby bath,Baby monitor,Babysitter recommendations,Bathtub,Beach essentials,Beachfront,Bed linens,Breakfast,Building staff,Cable TV,Carbon monoxide detector,Changing table,Children’s books and toys,Children’s dinnerware,Cleaning before checkout,Coffee maker,Cooking basics,Crib,Dishes and silverware,Dishwasher,Dryer,EV charger,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,Fireplace guards,First aid kit,Free parking on premises,Free street parking,Game console,Garden or backyard,Gym,Hair dryer,Hangers,Heating,High chair,Host greets you,Hot tub,Hot water,Indoor fireplace,Iron,Keypad,Kitchen,Lake access,Laptop friendly workspace,Lock on bedroom door,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Outlet covers,Oven,Pack ’n Play/travel crib,Paid parking off premises,Paid parking on premises,Patio or balcony,Pocket wifi,Pool,Private entrance,Private living room,Refrigerator,Room-darkening shades,Shampoo,Single level home,Ski-in/Ski-out,Smart lock,Smoke detector,Stair gates,Stove,TV,Table corner guards,Washer,Waterfront,Wifi,Window guards,Reviewers_no,Title,normalized_price,geom,month,address
5,2019-03-21,5,2019-03-26,5,5,40.73321,5,-74.00242,244,1,4.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,87,*Luxury 1 Bedrm Private Designer Home & Roofdeck*,1,"40.73321,-74.00242",3,"204, West 4th Street, West Village, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10014, USA"
4.5,2019-03-21,4.5,2019-03-26,4,4.5,40.7658,5,-73.95812,62,1,4,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,Single Bedroom-Upper East Side-Central Park,0.254098361,"40.7658,-73.95812",3,"351, East 68th Street, Lenox Hill, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10065, USA"
5,2019-03-21,5,2019-03-26,5,5,40.75972,4.5,-74.03827,44,1,5,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,83,Quiet room for sleeping - 15 min from Times Square,0.180327869,"40.75972,-74.03827",3,"582, 12th Street, Union City, Hudson County, New Jersey, 07087, USA"
5,2019-03-21,5,2019-03-26,5,5,40.81386,5,-73.95936,78,1,5,2,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,32,"Cozy room C in upper west side NY, Columbia",0.319672131,"40.81386,-73.95936",3,"3150, Broadway, Morningside Gardens, Morningside Heights, Manhattan, Manhattan Community Board 9, New York County, NYC, New York, 10027, USA"
5,2019-03-21,5,2019-03-26,5,5,40.69284,4.5,-73.94418,80,1,5,1.5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,28,Cozy in Bedstuy,0.327868852,"40.692840000000004,-73.94418",3,"186, Pulaski Street, Eleanor Roosevelt Houses, BK, Kings County, NYC, New York, 11206, USA"
0,2019-03-21,0,2019-03-26,0,0,40.76829,0,-73.98298,116,1,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,Large Bedroom with private sunroom Columbus Circle,0.475409836,"40.76829,-73.98298",3,"Time Warner Center, 102, Columbus Circle, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10023, USA"
5,2019-03-21,5,2019-03-26,5,5,40.71941,5,-74.00856,96,0,5,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,8,"Classic, yet Unconventional Tribeca NYC Extra Room",0.393442623,"40.719409999999996,-74.00856",3,"110, Hudson Street, TriBeCa, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10013, USA"
5,2019-03-21,5,2019-03-26,5,5,40.78866,5,-73.96908,119,1,5,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,140,Location is Everything!,0.487704918,"40.78866,-73.96908",3,"45, West 90th Street, Upper West Side, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10024, USA"
4.5,2019-03-21,4.5,2019-03-26,3.5,4.5,40.82264,4.5,-73.94041,73,0,4,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,570,Private Bedroom in Manhattan,0.299180328,"40.82264,-73.94041",3,"231, West 145th Street, Harlem, Manhattan, Manhattan Community Board 10, New York County, NYC, New York, 10039, USA"
5,2019-03-21,5,2019-03-26,5,5,40.69101,5,-73.97312,63,1,5,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,19,"Sunny Room in Townhouse, Historic Brooklyn",0.258196721,"40.69101,-73.97312",3,"189, Washington Park, Fort Greene, BK, Kings County, NYC, New York, 11205, USA"
0,2019-03-21,0,2019-03-26,0,0,40.7548,0,-73.9948,207,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,Super cute 1 bedroom apartment close to TimeSquare,0.848360656,"40.7548,-73.9948",3,"474, 9th Avenue, Columbus Circle, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10018, USA"
